timestep	volume
0	435.9009075
100	434.3780256
200	433.2582034
300	432.5248181
400	431.5404697
500	431.3225849
600	429.4387036
700	427.4715802
800	426.3576667
900	425.7551246
1000	425.6819583
1100	425.7758313
1200	425.6638688
1300	425.2927451
1400	425.8243729
1500	425.4842181
1600	426.3149658
1700	426.5117393
1800	425.9934813
1900	423.6314092
2000	422.6788072
2100	422.9733619
2200	422.6389104
2300	421.9418358
2400	420.2233522
2500	420.6554641
2600	419.3810264
2700	419.3664073
2800	419.2264981
2900	418.258727
3000	418.4099101
3100	417.1205372
3200	417.5887167
3300	416.4317295
3400	416.4264413
3500	415.7012319
3600	414.8950036
3700	415.4640881
3800	416.0074963
3900	416.2125888
4000	416.4682168
4100	417.4571521
4200	416.5638877
4300	416.6134217
4400	415.7859898
4500	413.5067261
4600	413.835899
4700	413.6609822
4800	413.8423628
4900	413.2955341
5000	413.4544751
5100	414.2798741
5200	414.3737699
5300	413.9459653
5400	413.5255195
5500	413.1045908
5600	413.6078558
5700	412.2070272
5800	412.0550482
5900	410.2799992
6000	410.9918551
6100	410.8048781
6200	411.0818563
6300	411.4399958
6400	410.9525872
6500	411.1361825
6600	411.2339661
6700	411.1296539
6800	410.0354584
6900	410.5741561
7000	410.7260038
7100	410.5003141
7200	411.1682947
7300	410.5029458
7400	411.1351707
7500	411.510902
7600	411.4211982
7700	411.2302794
7800	410.2188977
7900	410.5096751
8000	409.6823412
8100	410.5881137
8200	410.6074193
8300	411.9915534
8400	411.7169341
8500	411.7100437
8600	411.2121822
8700	410.9580486
8800	410.7281899
8900	409.2102028
9000	408.5791439
9100	408.341129
9200	408.7885334
9300	408.6624276
9400	408.5242091
9500	408.522209
9600	409.2770562
9700	409.2112242
9800	410.0880224
9900	411.3628781
10000	411.6666779
10100	410.5828021
10200	410.984886
10300	410.1010074
10400	410.8029365
10500	410.0738876
10600	410.2894697
10700	410.7362764
10800	410.4179873
10900	410.7227212
11000	410.7125499
11100	410.0613863
11200	409.27356
11300	409.6845103
11400	408.4261389
11500	409.119381
11600	409.8771921
11700	410.6620852
11800	409.8648327
11900	410.6520735
12000	410.147379
12100	410.1939036
12200	410.0025905
12300	410.0783029
12400	408.7164371
12500	408.3922768
12600	408.3402191
12700	410.0331269
12800	410.1096462
12900	409.1376456
13000	409.0731026
13100	410.1257099
13200	410.2238939
13300	409.3346143
13400	408.7066879
13500	408.7551939
13600	408.4646937
13700	409.1611722
13800	407.7234843
13900	407.7863255
14000	408.3475596
14100	409.7349236
14200	409.7542833
14300	409.3665502
14400	409.5092719
14500	409.2472523
14600	409.4657745
14700	409.5738781
14800	408.1110496
14900	409.3134207
15000	409.7531504
15100	409.9904551
15200	409.9248336
15300	409.655738
15400	409.1491955
15500	408.4035776
15600	408.0007834
15700	408.5595285
15800	408.1586355
15900	408.4546207
16000	407.6632739
16100	407.8646157
16200	408.6262189
16300	409.2719509
16400	409.5225639
16500	409.6536598
16600	410.2320451
16700	409.7553059
16800	409.9001815
16900	410.9235889
17000	411.098264
17100	412.0384519
17200	411.925349
17300	410.7632392
17400	409.8081786
17500	409.2295649
17600	409.5998253
17700	409.6583305
17800	410.082128
17900	410.4043279
18000	410.7040179
18100	412.4770153
18200	413.1774018
18300	413.5727111
18400	412.6397338
18500	412.7796397
18600	412.559924
18700	412.199538
18800	411.9569986
18900	411.3724272
19000	410.9852262
19100	411.1120942
19200	410.5060075
19300	409.8521135
19400	409.9713651
19500	410.7926587
19600	410.2569286
19700	409.8171031
19800	409.871142
19900	410.3315323
20000	410.4287161
