timestep	volume
0	435.9009075
100	434.2363829
200	433.1345266
300	431.0920065
400	430.2991656
500	429.619728
600	427.857938
700	426.6080719
800	425.2734513
900	423.4360025
1000	422.0889529
1100	421.3484267
1200	420.6408491
1300	420.0080226
1400	419.5874899
1500	418.9545171
1600	417.9249773
1700	417.3906802
1800	417.2176826
1900	415.7266103
2000	415.0879314
2100	414.5497489
2200	414.3782048
2300	413.2479525
2400	412.5715936
2500	411.8243556
2600	410.2547141
2700	409.6165704
2800	409.51331
2900	408.4461139
3000	407.9461229
3100	407.7233381
3200	407.3900045
3300	406.5587615
3400	406.785793
3500	406.2134902
3600	404.8026029
3700	405.2805357
3800	404.3717454
3900	404.2991838
4000	403.9774243
4100	403.4790409
4200	402.7477446
4300	402.6320518
4400	401.8168394
4500	401.042609
4600	400.530851
4700	399.4085544
4800	398.4792102
4900	398.5355972
5000	397.7908135
5100	397.6413998
5200	397.125742
5300	397.1585157
5400	396.7297363
5500	396.4793375
5600	397.0959922
5700	396.7814931
5800	396.9084829
5900	395.736361
6000	395.6682203
6100	395.2986486
6200	395.430867
6300	395.5811006
6400	395.5235287
6500	394.7751671
6600	394.400351
6700	393.6868782
6800	392.9007997
6900	392.6869988
7000	392.3714769
7100	392.0813323
7200	392.1320197
7300	392.0972816
7400	392.0925891
7500	391.9130764
7600	392.2609481
7700	391.7010639
7800	391.3877003
7900	391.2741727
8000	390.9736004
8100	391.2684478
8200	390.9204511
8300	391.2885721
8400	392.3702843
8500	392.4790851
8600	391.5886027
8700	391.7441232
8800	390.8623717
8900	390.4686153
9000	390.4628994
9100	389.8595965
9200	390.4774996
9300	390.3735342
9400	390.4421686
9500	390.122728
9600	389.9784246
9700	389.82974
9800	390.8001356
9900	391.4830532
10000	391.5125082
10100	390.7010482
10200	390.1692521
10300	389.3994163
10400	388.7509692
10500	387.7991565
10600	386.7206871
10700	385.8793853
10800	386.0646042
10900	386.0953597
11000	385.8154629
11100	385.3939237
11200	384.8475745
11300	384.096925
11400	383.8959686
11500	383.558696
11600	383.0976287
11700	383.0615995
11800	383.8767573
11900	382.7124939
12000	382.0636847
12100	381.4795996
12200	381.4328448
12300	381.0285942
12400	380.4596181
12500	380.6373973
12600	380.2383601
12700	380.2828782
12800	380.3458515
12900	379.9181671
13000	380.1209263
13100	380.929228
13200	381.3592672
13300	380.444412
13400	380.1770048
13500	380.5825452
13600	381.0976519
13700	381.4879598
13800	381.3853734
13900	381.6417052
14000	381.866103
14100	381.3432384
14200	381.0335016
14300	380.8050326
14400	380.522244
14500	380.8188776
14600	381.2509582
14700	381.5172345
14800	381.0424446
14900	381.8504458
15000	381.8892939
15100	382.0792702
15200	382.2028166
15300	381.8378852
15400	381.3704974
15500	381.3328644
15600	379.9363299
15700	380.0897596
15800	379.5075713
15900	379.5958531
16000	378.8749132
16100	379.3088284
16200	378.992047
16300	379.4594654
16400	379.726489
16500	380.4919188
16600	380.8021523
16700	380.7748819
16800	380.5455329
16900	380.9658002
17000	380.9911872
17100	381.3341604
17200	380.8692577
17300	380.0984905
17400	380.1277972
17500	380.9917721
17600	381.0761115
17700	380.5031042
17800	380.6029153
17900	380.7090218
18000	380.4331341
18100	381.3372434
18200	380.9354639
18300	380.9332118
18400	380.8743032
18500	380.9622855
18600	380.5455377
18700	380.3135507
18800	380.2876786
18900	380.1474182
19000	379.8287732
19100	379.5481844
19200	379.2879262
19300	379.4838301
19400	379.7277485
19500	380.3769845
19600	380.1102852
19700	380.279234
19800	379.8942385
19900	380.4840201
20000	380.2580417
