timestep	volume
0	435.9009075
100	434.3905262
200	432.2358798
300	431.5889932
400	429.6553657
500	428.6297397
600	428.5540777
700	426.6197096
800	425.5908538
900	424.9528877
1000	424.5842221
1100	424.0238043
1200	422.9053268
1300	421.9536721
1400	421.2709461
1500	420.1947083
1600	419.8261209
1700	419.2726709
1800	418.4203862
1900	418.0658941
2000	417.6962887
2100	416.6475455
2200	415.1601722
2300	415.0413286
2400	414.2264348
2500	413.3825237
2600	412.8438655
2700	412.3510011
2800	410.4372318
2900	410.0492368
3000	408.5709004
3100	408.6008536
3200	407.6358256
3300	407.1304911
3400	406.1945625
3500	405.0964651
3600	404.9505245
3700	404.3702931
3800	403.0646072
3900	403.1969601
4000	403.0221323
4100	402.9611327
4200	401.6616641
4300	400.0299156
4400	399.8020373
4500	399.1000072
4600	399.7018764
4700	399.4444659
4800	399.1071498
4900	398.6306087
5000	398.8831046
5100	398.7111509
5200	397.3024625
5300	397.454643
5400	397.4139209
5500	397.3429056
5600	396.516256
5700	395.7012366
5800	395.9396611
5900	395.0530355
6000	394.8902285
6100	395.1055057
6200	393.4616168
6300	393.1304595
6400	392.8147801
6500	392.4560789
6600	391.5251642
6700	391.8460248
6800	391.9122896
6900	390.8450644
7000	390.8013458
7100	390.0858332
7200	390.0273884
7300	389.8304781
7400	390.2297544
7500	391.1055324
7600	390.4533729
7700	390.5431673
7800	389.8955144
7900	389.539107
8000	389.6788596
8100	390.5930983
8200	390.4329458
8300	390.089965
8400	389.7870934
8500	390.2055523
8600	390.0785688
8700	389.4757339
8800	390.4264885
8900	390.2163234
9000	390.2828426
9100	389.4629092
9200	389.3923159
9300	388.9284786
9400	388.519643
9500	387.4934407
9600	387.3306746
9700	387.3225077
9800	387.3626936
9900	387.6139579
10000	387.5680794
10100	388.2500636
10200	388.7814864
10300	388.8460505
10400	388.460237
10500	387.7251555
10600	387.2739266
10700	386.5263095
10800	386.7224901
10900	386.1073145
11000	386.2636322
11100	386.6294299
11200	387.4865984
11300	386.9908556
11400	387.3778593
11500	386.5409873
11600	386.2255146
11700	386.5191674
11800	386.4072017
11900	386.4009127
12000	386.6212069
12100	385.2402035
12200	384.8282003
12300	385.0951784
12400	384.4129135
12500	383.9742007
12600	383.4934506
12700	383.4251654
12800	383.5026235
12900	383.6349642
13000	383.911965
13100	383.8546106
13200	383.4760423
13300	382.5979681
13400	382.4609976
13500	382.2655885
13600	381.7070945
13700	382.2402856
13800	382.7312092
13900	383.0340956
14000	383.7196784
14100	383.9079895
14200	383.8197887
14300	383.73097
14400	384.1099456
14500	384.511318
14600	384.1481148
14700	384.4694745
14800	384.7147816
14900	385.2205269
15000	385.9281274
15100	385.3049021
15200	385.1954183
15300	384.9572163
15400	384.731163
15500	384.4994166
15600	384.7514736
15700	384.9371368
15800	384.3190158
15900	383.5242093
16000	383.4830236
16100	383.1686876
16200	383.3261923
16300	383.4330996
16400	384.1384349
16500	383.9260172
16600	383.3165721
16700	383.69957
16800	383.750919
16900	383.8421644
17000	382.9910685
17100	382.0864441
17200	381.426788
17300	381.3638929
17400	381.1109101
17500	380.923815
17600	381.3509228
17700	381.8256098
17800	381.5910347
17900	380.9722569
18000	381.2108633
18100	380.9642095
18200	381.3825916
18300	381.4010612
18400	380.6823699
18500	380.1672195
18600	380.416287
18700	380.0973231
18800	379.069176
18900	378.7424968
19000	378.5450224
19100	378.7538015
19200	378.3331993
19300	378.2030821
19400	378.5270388
19500	378.2990853
19600	378.7000065
19700	378.7403087
19800	379.1081715
19900	379.4324611
20000	379.7006458
